Menit,Vdc,Iac,Idc,Pin,Pout,Efisiensi,SoC in A*min,"SoC, fast",SoC in Ah
108,29.2,0.14,0.95,30.800000000000004,27.74,90.06493506493504,386.17499999999995,96.98746766456539,6.436249999999999
109,29.2,0.14,0.92,30.800000000000004,26.864,87.2207792207792,387.10999999999996,97.2222919858352,6.451833333333332
110,29.2,0.13,0.9,28.6,26.28,91.8881118881119,388.02,97.45083758193736,6.467
111,29.2,0.13,0.88,28.6,25.695999999999998,89.84615384615383,388.90999999999997,97.67436019790541,6.4818333333333324
112,29.2,0.12,0.84,26.4,24.528,92.9090909090909,389.77,97.8903483436723,6.496166666666666
113,29.2,0.12,0.81,26.4,23.652,89.5909090909091,390.59499999999997,98.09754627420449,6.509916666666666
114,29.3,0.12,0.79,26.4,23.147000000000002,87.67803030303031,391.395,98.29846547956903,6.52325
115,29.3,0.11,0.76,24.2,22.268,92.01652892561984,392.16999999999996,98.49310595976593,6.536166666666666
116,29.3,0.11,0.74,24.2,21.682,89.59504132231405,392.91999999999996,98.68146771479519,6.548666666666666
117,29.3,0.11,0.71,24.2,20.803,85.96280991735537,393.645,98.86355074465682,6.56075
118,29.3,0.1,0.69,22.0,20.217,91.89545454545454,394.34499999999997,99.03935504935079,6.572416666666666
119,29.3,0.1,0.67,22.0,19.631,89.23181818181818,395.025,99.21013637391066,6.583749999999999
120,29.3,0.1,0.66,22.0,19.338,87.9,395.69,99.37715046336993,6.594833333333333
121,29.3,0.09,0.64,19.8,18.752000000000002,94.70707070707071,396.34,99.54039731772862,6.605666666666666
122,29.3,0.09,0.62,19.8,18.166,91.74747474747474,396.96999999999997,99.69862119195318,6.6161666666666665
123,29.3,0.09,0.6,19.8,17.58,88.78787878787877,397.58,99.85182208604365,6.626333333333333
124,29.3,0.09,0.58,19.8,16.994,85.82828282828282,398.16999999999996,100.0,6.636166666666666
